"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","3324","2924","2856","1740","1636","1556","1516","1440","1376","1324","1268","1036","996","832"
"1","2025","2024","GH","Pmu","cul","C","UV","25","1","1","0.734104895638762","2.86546634259848","1.53758253241697","0.153602925621567","1.13138704457606","0.182707230494564","0.182707230494564","1.16431911291323","0.840339533953968","1.09545204637458","1.30682238034607","3.13745505090543","3.14042280655733","0.265304839812003"
"2","2025","2024","GH","Pmu","cul","C","UV","25","1","2","0.74095999211352","2.87144613656866","1.54586499021104","0.186692426028923","1.16937347006951","-0.274229055726486","0.216044609894024","1.19341091906741","0.859595208320928","1.12224734568482","1.33194906803485","3.06987659370882","3.05180014194128","0.270027878835717"
"3","2025","2024","GH","Pmu","cul","C","UV","25","1","3","0.724005849115878","2.87177329440234","1.54949304347545","0.150274941371497","1.16861847512955","0.226844159983879","0.226844159983879","1.18971317321233","0.851660239960356","1.13770915274613","1.35272389448718","3.06898328742501","3.02999399918563","0.309219208435502"
"4","2025","2024","GH","Pmu","cul","D","UV","32","1","1","0.797274034447911","2.89745964142927","1.54009146094965","0.227132662782305","1.20304005280223","-0.25525895387431","0.190162597897914","1.17597406821945","0.850348065338321","1.09018869318671","1.30075329762914","3.03228128354932","3.0021821283274","0.195756519517166"
"5","2025","2024","GH","Pmu","cul","D","UV","32","1","2","0.807626933763115","2.86470268456546","1.51835363973445","0.203955482657941","1.22027011048293","0.196032006408889","0.196032006408889","1.15407786791377","0.836578009375322","1.05048888436746","1.25047781079218","3.15447586294321","3.12541963311425","0.16619452587151"
"6","2025","2024","GH","Pmu","cul","D","UV","32","1","3","0.822147575527105","2.86786259911257","1.51746977964185","0.231684589811887","1.23516517157837","0.200946958019936","0.200946958019936","1.16788242072803","0.848125272472899","1.0689130378618","1.2660614511047","3.08228950669003","3.04647923027535","0.171152957465872"
"7","2025","2024","GH","Pmu","cul","F","UV","54","1","1","0.765899961418103","2.89896423983856","1.54942105485572","0.220951861157203","1.16046956571552","0.183555441503895","0.183555441503895","1.15877702211741","0.829056471937039","1.06598780003631","1.28064416863771","3.15615940152437","3.06753048607584","0.22236390097033"
"8","2025","2024","GH","Pmu","cul","F","UV","54","1","2","0.778207112336801","2.81774363996832","1.49094964570699","0.213965556323226","1.17560016805629","0.164509054007775","0.164509054007775","1.1183849244893","0.799827947264805","1.00798783414013","1.19235098867418","3.30745789027548","3.223751678474","0.116945731577894"
"9","2025","2024","GH","Pmu","cul","F","UV","54","1","3","0.801524143339653","2.79750317210056","1.47371929052275","0.198641675463165","1.20371035787168","-0.240796378896622","0.181724519925893","1.13781034100349","0.829462894254127","1.02677877977801","1.21243563326499","3.29864006574146","3.18560129520986","0.121789925872742"
"10","2025","2025","GH","Pmu","cul","A","CON"," 9","1","1","0.801175436228518","2.40734852900837","1.22787044238895","-0.137471414504276","1.39022964711814","-0.0874638033487874","0.362864345292997","1.19799514952403","0.886239667217341","1.16618222645523","1.34024308976485","3.18041410790734","3.00091794321929","0.227365727584698"
"11","2025","2025","GH","Pmu","cul","A","CON"," 9","1","2","0.864650317303555","2.42462536603846","1.24545590721349","-0.0940941531657226","1.45261201039892","-0.0306463553530645","0.361496303030058","1.20156279144368","0.896655465991251","1.1196774704863","1.31132460060726","3.17434753864867","3.00171854874138","0.139961357698206"
"12","2025","2025","GH","Pmu","cul","A","CON"," 9","1","3","0.845952697503386","2.40347233727153","1.21314630947655","-0.142475554829701","1.41874156545688","-0.0959795337704036","0.338691623676864","1.18077714067742","0.864439541543935","1.13503577090118","1.31755813339402","3.19524797093033","3.01502387581124","0.211240310413874"
"13","2025","2025","GH","Pmu","cul","A","UV"," 1","1","1","0.798514320549048","2.55549470705163","1.34737355952566","-0.0321383705227606","1.26023169169176","-0.193302031863079","0.199436297260704","1.16135711826985","0.857969790015075","1.09421425791041","1.24947586471284","3.32020368066209","3.19937599888996","0.188824549783498"
"14","2025","2025","GH","Pmu","cul","A","UV"," 1","1","2","0.816173843119412","2.50611447807122","1.31708867581368","-0.0495238689576227","1.27895287348089","-0.176575917188229","0.208767992558399","1.15267641199459","0.854235384356892","1.08304920752832","1.23548744510183","3.36709238004939","3.22087551052785","0.160826729811654"
"15","2025","2025","GH","Pmu","cul","A","UV"," 1","1","3","0.733020056244171","2.53447632141504","1.32060838316336","-0.0928446093419379","1.219147467565","-0.254035700074762","0.206685264949262","1.16493979872276","0.84308088181113","1.15159416515951","1.31699268134598","3.2980835819704","3.11168091392967","0.299610835156917"
"16","2025","2025","GH","Pmu","cul","B","CON","16","1","1","0.762411516939498","2.62458022794388","1.38613074231607","-0.0242721700739435","1.20027784322631","-0.291514705980908","0.185024387428784","1.16416413643508","0.846589473068741","1.13598198535774","1.32209071749143","3.20448911751556","3.12372269835894","0.302017516289285"
"17","2025","2025","GH","Pmu","cul","B","CON","16","1","2","0.78900476617356","2.57774645094706","1.35989149626424","-0.0493501799273788","1.24072788195852","-0.269851896364508","0.190665216299025","1.16634724399774","0.847961149253824","1.13932109355837","1.31929077659341","3.21366280270638","3.12098003918704","0.282487792498103"
"18","2025","2025","GH","Pmu","cul","B","CON","16","1","3","0.782954312807017","2.64997368069149","1.39340212207227","-0.013727148335489","1.18554065198776","-0.300399641862122","0.164159552321912","1.1360516752791","0.825834207812969","1.11506596638978","1.28648065404508","3.29722983178983","3.19659353795456","0.263337640654309"
