"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio"
"62",2025,2025,"GH","Pmu","cul","E","UV",44,"1",1,0.5619412,0.6126813,0.054172086,1012,1012,0
"63",2025,2025,"GH","Pmu","cul","E","UV",44,"1",2,0.569002,0.6126813,0.054172086,1012,1012,0
"64",2025,2025,"GH","Pmu","cul","E","UV",44,"1",3,0.5625408,0.6126813,0.054172086,1012,1012,0
"65",2025,2025,"GH","Pmu","cul","F","CON",60,"1",1,0.5976756,0.5591189,0.034261385,1019,1020,0.000980392156862745
"66",2025,2025,"GH","Pmu","cul","F","CON",60,"1",2,0.5942241,0.5591189,0.034261385,1019,1020,0.000980392156862745
"67",2025,2025,"GH","Pmu","cul","F","CON",60,"1",3,0.6013227,0.5591189,0.034261385,1019,1020,0.000980392156862745
"68",2025,2025,"GH","Pmu","cul","F","UV",52,"1",1,0.5854116,0.5569529,0.024044742,1006,1008,0.00198412698412698
"69",2025,2025,"GH","Pmu","cul","F","UV",52,"1",2,0.5617497,0.5569529,0.024044742,1006,1008,0.00198412698412698
"70",2025,2025,"GH","Pmu","cul","F","UV",52,"1",3,0.565135,0.5569529,0.024044742,1006,1008,0.00198412698412698
"71",2025,2025,"GH","Pmu","cul","F","UV",53,"1",1,0.5698005,0.6543281,0.051618179,1094,1094,0
"72",2025,2025,"GH","Pmu","cul","F","UV",53,"1",2,0.5751149,0.6543281,0.051618179,1094,1094,0
"73",2025,2025,"GH","Pmu","cul","F","UV",53,"1",3,0.574425,0.6543281,0.051618179,1094,1094,0
"74",2025,2025,"GH","Pmu","cut","A","CON",1,"b",1,0.3721978,0.4709238,0.033704932,552,553,0.00180831826401447
"75",2025,2025,"GH","Pmu","cut","A","CON",1,"b",2,0.39624,0.4709238,0.033704932,552,553,0.00180831826401447
"76",2025,2025,"GH","Pmu","cut","A","CON",1,"b",3,0.3749136,0.4709238,0.033704932,552,553,0.00180831826401447
"77",2025,2025,"GH","Pmu","cut","A","CON",2,"a",1,0.4089942,0.3978342,0.021361689,573,585,0.0205128205128205
"78",2025,2025,"GH","Pmu","cut","A","CON",2,"a",2,0.3912769,0.3978342,0.021361689,573,585,0.0205128205128205
"79",2025,2025,"GH","Pmu","cut","A","CON",2,"a",3,0.3816944,0.3978342,0.021361689,573,585,0.0205128205128205
"80",2025,2025,"GH","Pmu","cut","A","CON",2,"b",1,0.4509363,0.4714748,0.027203144,571,572,0.00174825174825175
"81",2025,2025,"GH","Pmu","cut","A","CON",2,"b",2,0.4554161,0.4714748,0.027203144,571,572,0.00174825174825175
"82",2025,2025,"GH","Pmu","cut","A","CON",2,"b",3,0.4436067,0.4714748,0.027203144,571,572,0.00174825174825175
"83",2025,2025,"GH","Pmu","cut","A","CON",4,"a",1,0.4436695,0.466546,0.05023099,540,547,0.0127970749542962
"84",2025,2025,"GH","Pmu","cut","A","CON",4,"a",2,0.4722646,0.466546,0.05023099,540,547,0.0127970749542962
"85",2025,2025,"GH","Pmu","cut","A","CON",4,"a",3,0.4721293,0.466546,0.05023099,540,547,0.0127970749542962
"86",2025,2025,"GH","Pmu","cut","A","CON",4,"b",1,0.4245859,0.4508512,0.014174691,619,627,0.0127591706539075
"87",2025,2025,"GH","Pmu","cut","A","CON",4,"b",2,0.4264516,0.4508512,0.014174691,619,627,0.0127591706539075
"88",2025,2025,"GH","Pmu","cut","A","CON",4,"b",3,0.4157205,0.4508512,0.014174691,619,627,0.0127591706539075
"89",2025,2025,"GH","Pmu","cut","A","CON",5,"a",1,0.414984,0.3296899,0.049967733,860,876,0.0182648401826484
"90",2025,2025,"GH","Pmu","cut","A","CON",5,"a",2,0.3901758,0.3296899,0.049967733,860,876,0.0182648401826484
"91",2025,2025,"GH","Pmu","cut","A","CON",5,"a",3,0.4130896,0.3296899,0.049967733,860,876,0.0182648401826484
"92",2025,2025,"GH","Pmu","cut","A","CON",6,"a",1,0.4243425,0.4049672,0.066052544,415,571,0.273204903677758
"93",2025,2025,"GH","Pmu","cut","A","CON",6,"a",2,0.4121222,0.4049672,0.066052544,415,571,0.273204903677758
"94",2025,2025,"GH","Pmu","cut","A","CON",6,"a",3,0.41422,0.4049672,0.066052544,415,571,0.273204903677758
"95",2025,2025,"GH","Pmu","cut","A","CON",6,"b",1,0.3963063,0.4182316,0.021225137,508,522,0.0268199233716475
"96",2025,2025,"GH","Pmu","cut","A","CON",6,"b",2,0.4157426,0.4182316,0.021225137,508,522,0.0268199233716475
"97",2025,2025,"GH","Pmu","cut","A","CON",6,"b",3,0.4176515,0.4182316,0.021225137,508,522,0.0268199233716475
"98",2025,2025,"GH","Pmu","cut","A","UV",1,"b",1,0.3829111,0.4041278,0.0596118,535,568,0.0580985915492958
"99",2025,2025,"GH","Pmu","cut","A","UV",1,"b",2,0.387575,0.4041278,0.0596118,535,568,0.0580985915492958
"100",2025,2025,"GH","Pmu","cut","A","UV",1,"b",3,0.3976246,0.4041278,0.0596118,535,568,0.0580985915492958
"101",2025,2025,"GH","Pmu","cut","A","UV",2,"a",1,0.3724031,0.3996286,0.037489439,516,529,0.0245746691871456
"102",2025,2025,"GH","Pmu","cut","A","UV",2,"a",2,0.3659655,0.3996286,0.037489439,516,529,0.0245746691871456
"103",2025,2025,"GH","Pmu","cut","A","UV",2,"a",3,0.3821613,0.3996286,0.037489439,516,529,0.0245746691871456
"104",2025,2025,"GH","Pmu","cut","A","UV",2,"b",1,0.3897205,0.4118632,0.042439807,607,669,0.0926756352765321
"105",2025,2025,"GH","Pmu","cut","A","UV",2,"b",2,0.4043814,0.4118632,0.042439807,607,669,0.0926756352765321
"106",2025,2025,"GH","Pmu","cut","A","UV",2,"b",3,0.4057028,0.4118632,0.042439807,607,669,0.0926756352765321
"107",2025,2025,"GH","Pmu","cut","A","UV",3,"a",1,0.437294,0.3811959,0.028657411,414,612,0.323529411764706
"108",2025,2025,"GH","Pmu","cut","A","UV",3,"a",2,0.4293582,0.3811959,0.028657411,414,612,0.323529411764706
"109",2025,2025,"GH","Pmu","cut","A","UV",3,"a",3,0.4325567,0.3811959,0.028657411,414,612,0.323529411764706
"110",2025,2025,"GH","Pmu","cut","A","UV",4,"a",1,0.4701963,0.4791745,0.006130569,588,629,0.0651828298887122
"111",2025,2025,"GH","Pmu","cut","A","UV",4,"a",2,0.4797832,0.4791745,0.006130569,588,629,0.0651828298887122
"112",2025,2025,"GH","Pmu","cut","A","UV",4,"a",3,0.506956,0.4791745,0.006130569,588,629,0.0651828298887122
"113",2025,2025,"GH","Pmu","cut","A","UV",4,"b",1,0.442119,0.4772622,0.02293827,600,606,0.0099009900990099
"114",2025,2025,"GH","Pmu","cut","A","UV",4,"b",2,0.4321288,0.4772622,0.02293827,600,606,0.0099009900990099
"115",2025,2025,"GH","Pmu","cut","A","UV",4,"b",3,0.4349531,0.4772622,0.02293827,600,606,0.0099009900990099
"116",2025,2025,"GH","Pmu","cut","A","UV",5,"b",1,0.4466698,0.519531,0.002779283,518,634,0.182965299684543
"117",2025,2025,"GH","Pmu","cut","A","UV",5,"b",2,0.4578977,0.519531,0.002779283,518,634,0.182965299684543
"118",2025,2025,"GH","Pmu","cut","A","UV",5,"b",3,0.4549623,0.519531,0.002779283,518,634,0.182965299684543
"119",2025,2025,"GH","Pmu","cut","A","UV",6,"a",1,0.4380982,0.3764118,0.007937314,610,639,0.0453834115805947
"120",2025,2025,"GH","Pmu","cut","A","UV",6,"a",2,0.4384822,0.3764118,0.007937314,610,639,0.0453834115805947
"121",2025,2025,"GH","Pmu","cut","A","UV",6,"a",3,0.4245161,0.3764118,0.007937314,610,639,0.0453834115805947
"122",2025,2025,"GH","Pmu","cut","A","UV",6,"b",1,0.4304821,0.4167413,0.022446548,595,634,0.0615141955835962
"123",2025,2025,"GH","Pmu","cut","A","UV",6,"b",2,0.4245136,0.4167413,0.022446548,595,634,0.0615141955835962
"124",2025,2025,"GH","Pmu","cut","A","UV",6,"b",3,0.4358633,0.4167413,0.022446548,595,634,0.0615141955835962
"125",2025,2025,"GH","Pmu","cut","B","CON",2,"a",1,0.4143979,0.4014752,0.009681737,549,572,0.0402097902097902
"126",2025,2025,"GH","Pmu","cut","B","CON",2,"a",2,0.421737,0.4014752,0.009681737,549,572,0.0402097902097902
"127",2025,2025,"GH","Pmu","cut","B","CON",2,"a",3,0.4017307,0.4014752,0.009681737,549,572,0.0402097902097902
"128",2025,2025,"GH","Pmu","cut","B","CON",2,"b",1,0.4497074,0.4405042,0.052445329,585,597,0.0201005025125628
"129",2025,2025,"GH","Pmu","cut","B","CON",2,"b",2,0.4280999,0.4405042,0.052445329,585,597,0.0201005025125628
"130",2025,2025,"GH","Pmu","cut","B","CON",3,"a",1,0.2877782,0.2920289,0.012318422,563,623,0.0963081861958267
"131",2025,2025,"GH","Pmu","cut","B","CON",3,"a",2,0.3190038,0.2920289,0.012318422,563,623,0.0963081861958267
"132",2025,2025,"GH","Pmu","cut","B","CON",3,"a",3,0.3849214,0.2920289,0.012318422,563,623,0.0963081861958267
"133",2025,2025,"GH","Pmu","cut","B","CON",3,"b",1,0.3673997,0.3502647,0.02684142,532,639,0.167449139280125
"134",2025,2025,"GH","Pmu","cut","B","CON",3,"b",2,0.3614522,0.3502647,0.02684142,532,639,0.167449139280125
"136",2025,2025,"GH","Pmu","cut","B","CON",4,"a",1,0.3660086,0.327824,0.022024288,539,544,0.00919117647058824
"138",2025,2025,"GH","Pmu","cut","B","CON",4,"a",3,0.377828,0.327824,0.022024288,539,544,0.00919117647058824
"139",2025,2025,"GH","Pmu","cut","B","CON",4,"b",1,0.4242116,0.415489,0.021517099,611,615,0.00650406504065041
"140",2025,2025,"GH","Pmu","cut","B","CON",4,"b",2,0.4270631,0.415489,0.021517099,611,615,0.00650406504065041
"141",2025,2025,"GH","Pmu","cut","B","CON",4,"b",3,0.4497475,0.415489,0.021517099,611,615,0.00650406504065041
"142",2025,2025,"GH","Pmu","cut","B","CON",5,"a",1,0.3948878,0.3985999,0.021410612,668,701,0.0470756062767475
"143",2025,2025,"GH","Pmu","cut","B","CON",5,"a",2,0.3880593,0.3985999,0.021410612,668,701,0.0470756062767475
"144",2025,2025,"GH","Pmu","cut","B","CON",5,"a",3,0.4052513,0.3985999,0.021410612,668,701,0.0470756062767475
"145",2025,2025,"GH","Pmu","cut","B","CON",5,"b",1,0.4207071,0.4384581,0.03308072,556,575,0.0330434782608696
"146",2025,2025,"GH","Pmu","cut","B","CON",5,"b",2,0.4217858,0.4384581,0.03308072,556,575,0.0330434782608696
"147",2025,2025,"GH","Pmu","cut","B","CON",5,"b",3,0.4536026,0.4384581,0.03308072,556,575,0.0330434782608696
"148",2025,2025,"GH","Pmu","cut","B","CON",6,"a",1,0.4484585,0.4037365,0.017827665,562,565,0.00530973451327434
"150",2025,2025,"GH","Pmu","cut","B","CON",6,"a",3,0.4314329,0.4037365,0.017827665,562,565,0.00530973451327434
"151",2025,2025,"GH","Pmu","cut","B","CON",6,"b",1,0.3848069,0.359236,0.014840232,528,573,0.0785340314136126
"152",2025,2025,"GH","Pmu","cut","B","CON",6,"b",2,0.3871223,0.359236,0.014840232,528,573,0.0785340314136126
"153",2025,2025,"GH","Pmu","cut","B","CON",6,"b",3,0.3789208,0.359236,0.014840232,528,573,0.0785340314136126
"154",2025,2025,"GH","Pmu","cut","B","UV",1,"b",1,0.4850712,0.456257,0.016973257,623,648,0.0385802469135802
"156",2025,2025,"GH","Pmu","cut","B","UV",2,"a",1,0.4491035,0.4292736,0.04310365,680,683,0.00439238653001464
"157",2025,2025,"GH","Pmu","cut","B","UV",2,"a",2,0.4459768,0.4292736,0.04310365,680,683,0.00439238653001464
"158",2025,2025,"GH","Pmu","cut","B","UV",2,"a",3,0.4564432,0.4292736,0.04310365,680,683,0.00439238653001464
"159",2025,2025,"GH","Pmu","cut","B","UV",2,"b",1,0.444092,0.4283811,0.001686662,530,542,0.022140221402214
"160",2025,2025,"GH","Pmu","cut","B","UV",2,"b",2,0.4456469,0.4283811,0.001686662,530,542,0.022140221402214
"161",2025,2025,"GH","Pmu","cut","B","UV",2,"b",3,0.4429141,0.4283811,0.001686662,530,542,0.022140221402214
"162",2025,2025,"GH","Pmu","cut","B","UV",3,"b",1,0.395671,0.3294563,0.005992288,634,670,0.0537313432835821
"163",2025,2025,"GH","Pmu","cut","B","UV",3,"b",2,0.3862248,0.3294563,0.005992288,634,670,0.0537313432835821
"164",2025,2025,"GH","Pmu","cut","B","UV",3,"b",3,0.3927451,0.3294563,0.005992288,634,670,0.0537313432835821
"165",2025,2025,"GH","Pmu","cut","B","UV",4,"a",1,0.4472507,0.4444097,0.004388223,669,670,0.00149253731343284
"166",2025,2025,"GH","Pmu","cut","B","UV",4,"a",2,0.4373279,0.4444097,0.004388223,669,670,0.00149253731343284
"167",2025,2025,"GH","Pmu","cut","B","UV",4,"a",3,0.442413,0.4444097,0.004388223,669,670,0.00149253731343284
"168",2025,2025,"GH","Pmu","cut","B","UV",6,"a",1,0.4456845,0.4052686,0.013306742,502,560,0.103571428571429
"169",2025,2025,"GH","Pmu","cut","B","UV",6,"a",2,0.456121,0.4052686,0.013306742,502,560,0.103571428571429
"170",2025,2025,"GH","Pmu","cut","B","UV",6,"a",3,0.4440698,0.4052686,0.013306742,502,560,0.103571428571429
"171",2025,2025,"GH","Pmu","cut","B","UV",6,"b",1,0.4259133,0.4275248,0.016609336,504,644,0.217391304347826
"172",2025,2025,"GH","Pmu","cut","B","UV",6,"b",2,0.4200292,0.4275248,0.016609336,504,644,0.217391304347826
"173",2025,2025,"GH","Pmu","cut","B","UV",6,"b",3,0.435233,0.4275248,0.016609336,504,644,0.217391304347826
"174",2025,2025,"GH","Pmu","cut","C","UV",1,"b",1,0.4577669,0.4353903,0.021330735,NA,NA,NA
"175",2025,2025,"GH","Pmu","cut","C","UV",1,"b",2,0.4514299,0.4353903,0.021330735,NA,NA,NA
"176",2025,2025,"GH","Pmu","cut","C","UV",1,"b",3,0.4172545,0.4353903,0.021330735,NA,NA,NA
