"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio","PLS _SD"
"45","2025","2025","GH","Pmu","cut","C","UV"," 3",0.33854935,0.3333258,0.047109373,455.5,552.5,0.189556863755591,0.0146819719852273
"46","2025","2025","GH","Pmu","cut","C","CON"," 2",0.435500283333333,0.4259066,0.016300003,606.5,613,0.0108154895067647,0.0136982999109257
"47","2025","2025","GH","Pmu","cut","C","CON"," 3",0.2611711,0.325629,0.036217325,580,588,0.0136054421768707,0.0150855265539523
"48","2025","2025","GH","Pmu","cut","C","CON"," 4",0.4784114,0.4397286,0.033138878,546,555,0.0162162162162162,0.00426855435481383
"49","2025","2025","GH","Pmu","cut","C","CON"," 5",0.4194344,0.4630441,0.058408019,593,665,0.108270676691729,0.0247259431272095
"50","2025","2025","GH","Pmu","cut","C","CON"," 6",0.396190216666667,0.37574,0.039258119,525,556.5,0.0565826610950004,0.0343643907244355
"51","2025","2025","GH","Pmu","cut","C","UV"," 4",0.4489106,0.4426762,0.014388901,568.5,572.5,0.00701781692333046,0.0175194422988861
"52","2025","2025","GH","Pmu","cut","C","UV"," 5",0.423467333333333,0.413146,0.039764788,571,622,0.0819935691318328,0.0172089863775684
"53","2025","2025","GH","Pmu","cut","C","UV"," 6",0.42386705,0.373978,0.029429815,517,556,0.0701438848920863,0.0448228624633122
"54","2025","2025","GH","Pmu","cut","D","CON"," 1",0.4244639,0.431687,0.039487241,556,558,0.003584229390681,0.00279159873728298
"55","2025","2025","GH","Pmu","cut","D","CON"," 2",0.456527,0.4512269,0.013410557,587,589,0.0033955857385399,0.00621736252521918
"56","2025","2025","GH","Pmu","cut","D","CON"," 3",0.3777741,0.3838187,0.090338316,600,644,0.0683229813664596,0.00316778817473645
"57","2025","2025","GH","Pmu","cut","D","CON"," 4",0.468741016666667,0.4789525,0.059167588,605.5,619,0.0222043789902472,0.0218448015535428
"58","2025","2025","GH","Pmu","cut","D","CON"," 5",0.421822566666667,0.3840462,0.037976806,589,609,0.0328407224958949,0.00575720809102235
"59","2025","2025","GH","Pmu","cut","D","CON"," 6",0.42795002,0.3904047,0.0348765212,632,636.2,0.00660527324194366,0.0467314050777098
