"","Plant","UV_Mal","CON_Mal","GCMS","PLS","GCMS_UV","GCMS_CON","PLS_UV","PLS_CON","UV_Mal_sd","CON_Mal_sd","GCMS_sd","PLS_sd","GCMS_UV_sd","GCMS_CON_sd","PLS_UV_sd","PLS_CON_sd"
"1","1",0.0313244169703421,0.00232999724805078,0.448371961111111,0.431268714814815,0.437246575,0.470622733333333,0.4271009,0.439604344444444,0.0172276447150517,0.00109130228629786,0.0316567995070942,0.0433083001639084,0.0235820622944167,0.0387860763663113,0.0335296289111835,0.0673461898853178
"2","2",0.0326500689452356,0.0172427985090341,0.427978598333333,0.422670206666666,0.427809941666667,0.428147255,0.423516555555555,0.421823857777778,0.0365237440656727,0.0110214193161984,0.0254109753369079,0.0250613366886075,0.0334518250826082,0.0173633521859159,0.0264602015928108,0.0260747753350075
"3","3",0.138183830611492,0.0531703796614284,0.338033518181818,0.351169327878788,0.344455,0.33032774,0.371793716666667,0.326420061333333,0.110879022967449,0.0457029563848002,0.0281184190174646,0.0455044636404254,0.020203657397412,0.0364733065401013,0.0372978769813809,0.0451001123211063
"4","4",0.038265566050312,0.0393864374303356,0.444996008333333,0.438041825833333,0.444135891666667,0.445856125,0.435664047222222,0.440419604444445,0.0614415806841015,0.0640252936268226,0.0328721617951257,0.0289440109279916,0.0276105703262793,0.0401640975376237,0.0202031181377759,0.0377004975263471
"5","5",0.0930589594316829,0.0459434498129521,0.42494115625,0.429674454166667,0.4579509,0.40513531,0.441820166666667,0.422387026666667,0.0849161005629795,0.0357155014135938,0.0555717265922123,0.0183619941162528,0.0551407069008913,0.0507598147758195,0.0160428283412803,0.0168619921633299
"6","6",0.0850459788533863,0.0494804358567454,0.390108366666667,0.418450895833333,0.387940183333333,0.39227655,0.420057897222222,0.416843894444444,0.0493196871969418,0.0530616037629084,0.014541611354416,0.0165404104943044,0.0159963602029545,0.0140727619342828,0.0198015275401879,0.0142684621899507
